Comment 
	Author 
	dachten die Syrer anfangs auch, sie würden für mehr Freiheiten und einen kleinen Wandel demonstrieren und dann schaltete sich die internationale "Diplomatie" ein ;) Ja, ich behaupte, für viele Politiker sind demonstrierende Menschen nur Werkzeuge. Alle skizzieren Bedrohungen, ob dies nun russische Hegemonialinteressen sind, wirtschaftliche Interessen des Westens. Die Klischees sind mittlerweile so tief verwurzelt und genau darum liest man in Medien so oft das Bild, dass die Ereignisse in der Ukraine für Europa so unglaublich wichtig sind, aber was ist mit den einfachsten Gründen, für Proteste und Demos? Ein bisschen mehr Freiheit. Ein bisschen weniger Korruption. Ein bisschen weniger "Die da oben und wir hier unten". Ein bisschen mehr Perspektive und weniger Zukunftsängste.Ob man diese Vorgänge im Übrigen "Revolution" nennen kann, das steht auf einem anderen Blatt.
	lxththf
	Imperialismus? ein dummer und abgedroschener Begriffwas sind 160 Mrd. Euro Kreditvolumen? Ein Schreck für jeden Haushalt oder eine Chance?Was suchen Außenminister dort - und warum berät sich eine "Opposition" mit Politikern hier?Souverän?Wer und wo?Krieg wird mit Informationen begonnen
	Jo408039
	Das klingt...wie eine Reinwaschung der EU und des Westens, nur spricht einiges dagegen. Dass es geostrategische Interessen an der Ukraine gibt, ist unbestritten. Dazu reicht es schon Zbigniew Brzeziński zu lesen, um die neue Containment-Politik gegenüber Russland zu verstehen.Herr Klitschko erhielt reichlich Unterstützung und die bekam er ja nicht aus reiner Nächstenliebe, dafür will der Westen ja auch was. Zudem bekam Klitschkos sehr interessante Solidaritätsbekundungen von Leuten, die in gewissen Kreisen verkehren und über einen gewissen Einfluss verfügen. Ich habe mehrfach darauf hingewiesen, übrigens auch Erwin Pelzig.Der Westen hat auch im darauf gedrungen, dass Frau Timoschneko mit ihrem Bandscheibenvorfall und mit ihrer nachweislichen Bestechlichkeit entlassen wird. Die Frau wurde zurecht verurteilt und wäre auch nach den Maßstäben der USA verurteilt worden. in Deutschland gelten solche Leute als schützenswerte Klientel. Deshalb auch diese Hingabe unserer Kanzlerin an Frau Timoschenko. Erst als die EU das zu einer Bedingung macht für das Abkommen und die Ablehnung der ukrainischen Regierungen nahmen die Proteste zu. Das Timing ist dabei hochinteressant. Nachdem die Proteste 5erlahmten, mussten sie neu belebt werden. Und das erleben wir gerade mit einer sehr aggressiven Haltung. Die Partei Svoboda und auch Klitschkos Partei sind äußerst gut ausgestattet und müssen sehr gut finanziert sein.
	Piscator76
	Was die Vorwürfe angeht, so sind diese im Westen auch nicht gerade unüblich. Wahlmanipulationen sind im Westen auch nicht gerade selten, wenn man sich die USA ansieht oder diese Unregelmäßigkeiten bei der letzten Bundestagswahlen als gewisse Stimmen plötzlich nicht gezählt wurden und Briefwahlunterlagen plötzlich auf dem Posteweg verschwanden. Last mal die Kirche im Dorf. Den deutschen Medien traue ich gar nicht mehr und es gibt bessere ausländische Medien (Guardian, etc.).
	Piscator76
	Wenn Sie schon dabei sind, Herr Dobert...die Oligarchen aufzuzählen, dann müssten Sie auch die Oligarchen hinter den größten Medien, die gegen die jetzige Regierung als Sprachrohr (und nicht nur) der Opposition stehen. Oligarchen gegen Oligarchen??? Uupps… Habe ich eine weitere Märchenwelt vom reinen Volksaufstand zerstört?
	faktenfaktenfakten
	Den Absatzmarkt wird es dann nicht mehr geben, weil die ukrainische Produkte in der EU und der Welt nicht konkurrenzfähig sind! Das gilt auch im Falle des Handelsabkommens mit der EU. Ich meine für uns hier ist es hervorragend - neuer Absatzmarkt mit ca. 45 Mio. Einwohnern, aber für die Ukrainer, die was herstellen? Bleiben nur die Sozialleistungen in den "Brüderstaaten" innerhalb der EU.
	faktenfaktenfakten
	Ukraine - in der Hand von Spekulanten
	NoG
	bezahlte Demonstranten
	AnnaD
	aber seit heute Abend liegt mir persönlich die Bestätigung vor, das der Euromaidan auch aus bezahlten Demonstranten besteht.
	Heekhof
